0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:32:33 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:34:13 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:34:13 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:34:52 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:34:59 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:34:59 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:35:15 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:35:15 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:36:14 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:36:14 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:37:01 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:37:01 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:23 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:23 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:23 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:23 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:23 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:23 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:23 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:25 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:39:25 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:40:15 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:40:15 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:41:21 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:41:21 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:42:17 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:42:17 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:42:18 +0530] "GET /JSHOW/laptops/apple/apple2.jpg HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:42:19 +0530] "GET /JSHOW/laptops/apple/apple3.jpg HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:42:32 +0530] "GET /JSHOW/laptops/dell/dell2.jpg HTTP/1.1" 200 5638
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:42:35 +0530] "GET /JSHOW/laptops/dell/dell3.jpg HTTP/1.1" 200 5535
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:42:37 +0530] "GET /JSHOW/laptops/hp/hp3.jpg HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:42:38 +0530] "GET /JSHOW/laptops/hp/hp2.jpg HTTP/1.1" 200 4224
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:47:55 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:47:59 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:26 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
